Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
consent_confidentiality_limits,owner_consent,,radio,"I understand that my information will be handled confidentially and that direct identifiers will not appear in research outputs, but complete anonymity cannot be guaranteed because the participant group is small and responses concern publicly identifiable projects.","1, Confirmed | 0, Not confirmed",,,,,,[intended_recipient] = '1',y,,,,,
consent_withdrawal_deadline,owner_consent,,radio,"I understand that I may withdraw a submitted review by emailing the study team by Friday 2 October 2026, and that after this date responses can no longer be removed.","1, Confirmed | 0, Not confirmed",,,,,,[intended_recipient] = '1',y,,,,,
consent_quote_process,owner_consent,,radio,"I understand that if the study wishes to quote my comments, I will be sent the exact proposed wording in advance and it will only be used if I agree.","1, Confirmed | 0, Not confirmed",,,,,,[intended_recipient] = '1',y,,,,,
consent_retention_reanalysis,owner_consent,,radio,I agree that my pseudonymised research data may be retained for 10 years and used by the research team for verification and further analyses directly related to this validation study and the improvement of the classification framework and dashboard.,"1, Confirmed | 0, Not confirmed",,,,,,[intended_recipient] = '1',y,,,,,
consent_complaints,owner_consent,,radio,I am aware of who I should contact if I wish to lodge a complaint.,"1, Confirmed | 0, Not confirmed",,,,,,[intended_recipient] = '1',y,,,,,
consent_acknowledgement,owner_consent,,radio,"I understand that choosing to be acknowledged by name is optional, is separate to my decision to take part, and would make my participation in this study permanently and publicly identifiable.","1, Confirmed | 0, Not confirmed",,,,,,[intended_recipient] = '1',y,,,,,
consent_items_complete,owner_consent,,calc,All ten owner-consent confirmations affirmative,"if([consent_read_info] = '1' and [consent_understand_invitation] = '1' and [consent_voluntary] = '1' and [consent_no_nonpublic] = '1' and [consent_confidentiality_limits] = '1' and [consent_withdrawal_deadline] = '1' and [consent_quote_process] = '1' and [consent_retention_reanalysis] = '1' and [consent_complaints] = '1' and [consent_acknowledgement] = '1', 1, 0)",,,,,,[intended_recipient] = '1',,,,,,@HIDDEN-SURVEY @READONLY
owner_consent,owner_consent,,radio,"I consent to participate in the study. I understand that my name, professional email address, consent record, survey responses and optional free-text comments will be used for the purposes explained to me, that UCL is the data controller, that I can contact UCL’s Data Protection Officer at data-protection@ucl.ac.uk, and that according to data protection legislation ‘public task’ will be the lawful basis for processing.","1, Yes, I agree to take part | 0, No, I do not wish to take part",,,,,,[intended_recipient] = '1',y,,,,,
consent_decline_stop,owner_consent,,descriptive,"<div style=""font-weight:400;"">Thank you for considering the study. You have chosen not to take part, and no project reviews will be displayed. This will have no adverse consequences.</div>",,,,,,,[owner_consent] = '0',,,,,,
ack_pref,owner_consent,,radio,"We would like to acknowledge the researchers who contributed to this study. Would you like to be acknowledged by name in resulting publications? Choosing to be acknowledged makes your involvement in this study permanently and publicly identifiable. Your answer does not affect your participation. If you decline acknowledgement, the study team will not name or acknowledge you in resulting outputs.","1, Yes, I would like to be acknowledged by name | 0, No, I would prefer not to be named | 2, I would prefer to decide later. Please contact me about this",,,,,,[intended_recipient] = '1' and [consent_items_complete] = '1' and [owner_consent] = '1',,,,,,
assignment_id,project_review,Project Review,text,Review reference,,,,,,,,,,,,,@READONLY-SURVEY
source_record_id,project_review,,text,Stable DEA source Record ID,,,,,,,,y,,,,,@HIDDEN-SURVEY @READONLY
official_project_id,project_review,,text,Official Project ID,,,,,,,,,,,,,@HIDDEN-SURVEY @READONLY
project_title,project_review,,notes,Public-register project title,,,,,,,,,,,,,@READONLY-SURVEY
datasets_used,project_review,,notes,Datasets listed in the public register,,,,,,,,,,,,,@READONLY-SURVEY
po_register_provenance,project_review,,descriptive,"<div style=""font-weight:400;"">These details are reproduced from the UK Statistics Authority register of accredited research projects, June 2026 edition.</div>",,,,,,,,,,,,,
public_register_url,project_review,,text,Public register URL,,,,,,,,,,,,,@HIDDEN-SURVEY @READONLY
source_pop_ver,project_review,,text,Frozen source-population version,,,,,,,,y,,,,,@HIDDEN-SURVEY @READONLY
production_ver,project_review,,text,Frozen production-classification release,,,,,,,,y,,,,,@HIDDEN-SURVEY @READONLY
taxonomy_ver,project_review,,text,Frozen taxonomy/dictionary version,,,,,,,,y,,,,,@HIDDEN-SURVEY @READONLY
proposal_output_sha256,project_review,,text,Proposal-output SHA-256 provenance,,,,,,,,y,,,,,@HIDDEN-SURVEY @READONLY
review_instr_ver,project_review,,text,Project Review instrument version,,,,,,,,y,,,,,@HIDDEN-SURVEY @READONLY
taxonomy_display_ver,project_review,,text,Owner-facing taxonomy display version,,,,,,,,y,,,,,@HIDDEN-SURVEY @READONLY
po_intro,project_review,,descriptive,"<strong>How the classifications work</strong><br><div style=""font-weight:400;""><br>Research Domains describe what the project is about. Several may apply, and they are not ranked.<br><br>Analytical Purposes describe what the project is trying to do analytically. One or two may apply.<br><br>A Research Domain or Analytical Purpose should be treated as applying <strong>only when it is a substantive focus of the project’s research question or analytical aims</strong>—not merely because related terms, datasets, variables, methods or outcomes are mentioned or used.<br><br>Cross-cutting tags show whether Demographic disparities / equity or COVID-19 & Pandemic is a central feature of the research question. Either, both or neither may apply.<br><br>Each proposed classification is shown with a definition. Please judge each one independently against the actual project and then assess whether its basis is visible in the public register entry.</div>",,,,,,,,,,,,,
po_privacy,project_review,,descriptive,"<strong>Important</strong><br><div style=""font-weight:400;"">Please do not include confidential, sensitive or otherwise non-public information in your answers. Where wider project context affects your answer, describe it only at a general level you are comfortable sharing.</div>",,,,,,,,,,,,,
prop_d01_label,project_review,Proposed Research Domains,text,Pre-populated proposed domain label 1,,,,,,,,,,,,,@HIDDEN-SURVEY @READONLY
prop_d01_def,project_review,,notes,Pre-populated owner-facing definition for proposed domain label 1,,,,,,,,,,,,,@HIDDEN-SURVEY @READONLY
po_d01_display,project_review,,descriptive,"<div><strong>[prop_d01_label]</strong><br><span style=""font-weight:400;"">What this domain covers: [prop_d01_def]</span></div>",,,,,,,[prop_d01_label] <> '',,,,,,
po_d01_fit,project_review,,radio,Does [prop_d01_label] describe the actual project?,"1, Fits | 2, Does not fit | 3, Unsure",,,,,,[prop_d01_label] <> '',y,,,,,
po_d01_correct_explain,project_review,,notes,Please briefly explain why this proposed Research Domain does not fit the actual project.,,,,,,,[po_d01_fit] = '2',y,,,,,
po_d01_vis,project_review,,radio,Is the basis for this classification visible in the public project title and datasets listed above?,"2, Clearly visible | 1, Partly visible | 0, Not visible | 3, Unsure",,,,,,[prop_d01_label] <> '',y,,,,,
po_d01_vis_explain,project_review,,notes,"Please briefly explain why the basis for this Research Domain is only partly visible, not visible, or unclear in the public project title and listed datasets.",,,,,,,[po_d01_vis] = '1' or [po_d01_vis] = '0' or [po_d01_vis] = '3',,,,,,
prop_d02_label,project_review,,text,Pre-populated proposed domain label 2,,,,,,,,,,,,,@HIDDEN-SURVEY @READONLY
prop_d02_def,project_review,,notes,Pre-populated owner-facing definition for proposed domain label 2,,,,,,,,,,,,,@HIDDEN-SURVEY @READONLY
po_d02_display,project_review,,descriptive,"<div><strong>[prop_d02_label]</strong><br><span style=""font-weight:400;"">What this domain covers: [prop_d02_def]</span></div>",,,,,,,[prop_d02_label] <> '',,,,,,
po_d02_fit,project_review,,radio,Does [prop_d02_label] describe the actual project?,"1, Fits | 2, Does not fit | 3, Unsure",,,,,,[prop_d02_label] <> '',y,,,,,
po_d02_correct_explain,project_review,,notes,Please briefly explain why this proposed Research Domain does not fit the actual project.,,,,,,,[po_d02_fit] = '2',y,,,,,
po_d02_vis,project_review,,radio,Is the basis for this classification visible in the public project title and datasets listed above?,"2, Clearly visible | 1, Partly visible | 0, Not visible | 3, Unsure",,,,,,[prop_d02_label] <> '',y,,,,,
po_d02_vis_explain,project_review,,notes,"Please briefly explain why the basis for this Research Domain is only partly visible, not visible, or unclear in the public project title and listed datasets.",,,,,,,[po_d02_vis] = '1' or [po_d02_vis] = '0' or [po_d02_vis] = '3',,,,,,
prop_d03_label,project_review,,text,Pre-populated proposed domain label 3,,,,,,,,,,,,,@HIDDEN-SURVEY @READONLY
prop_d03_def,project_review,,notes,Pre-populated owner-facing definition for proposed domain label 3,,,,,,,,,,,,,@HIDDEN-SURVEY @READONLY
po_d03_display,project_review,,descriptive,"<div><strong>[prop_d03_label]</strong><br><span style=""font-weight:400;"">What this domain covers: [prop_d03_def]</span></div>",,,,,,,[prop_d03_label] <> '',,,,,,
po_d03_fit,project_review,,radio,Does [prop_d03_label] describe the actual project?,"1, Fits | 2, Does not fit | 3, Unsure",,,,,,[prop_d03_label] <> '',y,,,,,
po_d03_correct_explain,project_review,,notes,Please briefly explain why this proposed Research Domain does not fit the actual project.,,,,,,,[po_d03_fit] = '2',y,,,,,
po_d03_vis,project_review,,radio,Is the basis for this classification visible in the public project title and datasets listed above?,"2, Clearly visible | 1, Partly visible | 0, Not visible | 3, Unsure",,,,,,[prop_d03_label] <> '',y,,,,,
po_d03_vis_explain,project_review,,notes,"Please briefly explain why the basis for this Research Domain is only partly visible, not visible, or unclear in the public project title and listed datasets.",,,,,,,[po_d03_vis] = '1' or [po_d03_vis] = '0' or [po_d03_vis] = '3',,,,,,
prop_d04_label,project_review,,text,Pre-populated proposed domain label 4,,,,,,,,,,,,,@HIDDEN-SURVEY @READONLY
prop_d04_def,project_review,,notes,Pre-populated owner-facing definition for proposed domain label 4,,,,,,,,,,,,,@HIDDEN-SURVEY @READONLY
po_d04_display,project_review,,descriptive,"<div><strong>[prop_d04_label]</strong><br><span style=""font-weight:400;"">What this domain covers: [prop_d04_def]</span></div>",,,,,,,[prop_d04_label] <> '',,,,,,
po_d04_fit,project_review,,radio,Does [prop_d04_label] describe the actual project?,"1, Fits | 2, Does not fit | 3, Unsure",,,,,,[prop_d04_label] <> '',y,,,,,
po_d04_correct_explain,project_review,,notes,Please briefly explain why this proposed Research Domain does not fit the actual project.,,,,,,,[po_d04_fit] = '2',y,,,,,
po_d04_vis,project_review,,radio,Is the basis for this classification visible in the public project title and datasets listed above?,"2, Clearly visible | 1, Partly visible | 0, Not visible | 3, Unsure",,,,,,[prop_d04_label] <> '',y,,,,,
po_d04_vis_explain,project_review,,notes,"Please briefly explain why the basis for this Research Domain is only partly visible, not visible, or unclear in the public project title and listed datasets.",,,,,,,[po_d04_vis] = '1' or [po_d04_vis] = '0' or [po_d04_vis] = '3',,,,,,
prop_p01_label,project_review,Proposed Analytical Purposes,text,Pre-populated proposed purpose label 1,,,,,,,,,,,,,@HIDDEN-SURVEY @READONLY
prop_p01_def,project_review,,notes,Pre-populated owner-facing definition for proposed purpose label 1,,,,,,,,,,,,,@HIDDEN-SURVEY @READONLY
po_p01_display,project_review,,descriptive,"<div><strong>[prop_p01_label]</strong><br><span style=""font-weight:400;"">What this purpose covers: [prop_p01_def]</span></div>",,,,,,,[prop_p01_label] <> '',,,,,,
po_p01_fit,project_review,,radio,Does [prop_p01_label] describe the actual project?,"1, Fits | 2, Does not fit | 3, Unsure",,,,,,[prop_p01_label] <> '',y,,,,,
po_p01_correct_explain,project_review,,notes,Please briefly explain why this proposed Analytical Purpose does not fit the actual project.,,,,,,,[po_p01_fit] = '2',y,,,,,
po_p01_vis,project_review,,radio,Is the basis for this classification visible in the public project title and datasets listed above?,"2, Clearly visible | 1, Partly visible | 0, Not visible | 3, Unsure",,,,,,[prop_p01_label] <> '',y,,,,,
po_p01_vis_explain,project_review,,notes,"Please briefly explain why the basis for this Analytical Purpose is only partly visible, not visible, or unclear in the public project title and listed datasets.",,,,,,,[po_p01_vis] = '1' or [po_p01_vis] = '0' or [po_p01_vis] = '3',,,,,,
prop_p02_label,project_review,,text,Pre-populated proposed purpose label 2,,,,,,,,,,,,,@HIDDEN-SURVEY @READONLY
prop_p02_def,project_review,,notes,Pre-populated owner-facing definition for proposed purpose label 2,,,,,,,,,,,,,@HIDDEN-SURVEY @READONLY
po_p02_display,project_review,,descriptive,"<div><strong>[prop_p02_label]</strong><br><span style=""font-weight:400;"">What this purpose covers: [prop_p02_def]</span></div>",,,,,,,[prop_p02_label] <> '',,,,,,
po_p02_fit,project_review,,radio,Does [prop_p02_label] describe the actual project?,"1, Fits | 2, Does not fit | 3, Unsure",,,,,,[prop_p02_label] <> '',y,,,,,
po_p02_correct_explain,project_review,,notes,Please briefly explain why this proposed Analytical Purpose does not fit the actual project.,,,,,,,[po_p02_fit] = '2',y,,,,,
po_p02_vis,project_review,,radio,Is the basis for this classification visible in the public project title and datasets listed above?,"2, Clearly visible | 1, Partly visible | 0, Not visible | 3, Unsure",,,,,,[prop_p02_label] <> '',y,,,,,
po_p02_vis_explain,project_review,,notes,"Please briefly explain why the basis for this Analytical Purpose is only partly visible, not visible, or unclear in the public project title and listed datasets.",,,,,,,[po_p02_vis] = '1' or [po_p02_vis] = '0' or [po_p02_vis] = '3',,,,,,
prop_t01_label,project_review,Cross-cutting tag status review,text,Pre-populated canonical tag label 1,,,,,,,,y,,,,,@HIDDEN-SURVEY @READONLY
prop_t01_def,project_review,,notes,Pre-populated owner-facing definition for canonical tag 1,,,,,,,,y,,,,,@HIDDEN-SURVEY @READONLY
po_t01_display,project_review,,descriptive,"<div><strong>[prop_t01_label]</strong><br><span style=""font-weight:400;"">What this tag covers: [prop_t01_def]</span></div>",,,,,,,,,,,,,
prop_t01_status,project_review,,radio,Proposed status for [prop_t01_label],"1, Applied | 0, Not applied",,,,,,,,,,,,@READONLY-SURVEY
po_t01_correct,project_review,,radio,Is the proposed status for [prop_t01_label] correct for the actual project?,"1, Yes | 0, No | 2, Unsure",,,,,,,y,,,,,
po_t01_correct_explain,project_review,,notes,Please briefly explain why the proposed status for the Demographic disparities / equity tag does not fit the actual project.,,,,,,,[po_t01_correct] = '0',y,,,,,
po_t01_vis,project_review,,radio,Is the basis for the proposed status of the Demographic disparities / equity tag visible in the public project title and datasets listed above?,"2, Clearly visible | 1, Partly visible | 0, Not visible | 3, Unsure",,,,,,,y,,,,,
po_t01_vis_explain,project_review,,notes,"Please briefly explain why the basis for this proposed tag status is only partly visible, not visible, or unclear in the public project title and listed datasets.",,,,,,,[po_t01_vis] = '1' or [po_t01_vis] = '0' or [po_t01_vis] = '3',,,,,,
prop_t02_label,project_review,,text,Pre-populated canonical tag label 2,,,,,,,,y,,,,,@HIDDEN-SURVEY @READONLY
prop_t02_def,project_review,,notes,Pre-populated owner-facing definition for canonical tag 2,,,,,,,,y,,,,,@HIDDEN-SURVEY @READONLY
po_t02_display,project_review,,descriptive,"<div><strong>[prop_t02_label]</strong><br><span style=""font-weight:400;"">What this tag covers: [prop_t02_def]</span></div>",,,,,,,,,,,,,
prop_t02_status,project_review,,radio,Proposed status for [prop_t02_label],"1, Applied | 0, Not applied",,,,,,,,,,,,@READONLY-SURVEY
po_t02_correct,project_review,,radio,Is the proposed status for [prop_t02_label] correct for the actual project?,"1, Yes | 0, No | 2, Unsure",,,,,,,y,,,,,
po_t02_correct_explain,project_review,,notes,Please briefly explain why the proposed status for the COVID-19 & Pandemic tag does not fit the actual project.,,,,,,,[po_t02_correct] = '0',y,,,,,
po_t02_vis,project_review,,radio,Is the basis for the proposed status of the COVID-19 & Pandemic tag visible in the public project title and datasets listed above?,"2, Clearly visible | 1, Partly visible | 0, Not visible | 3, Unsure",,,,,,,y,,,,,
po_t02_vis_explain,project_review,,notes,"Please briefly explain why the basis for this proposed tag status is only partly visible, not visible, or unclear in the public project title and listed datasets.",,,,,,,[po_t02_vis] = '1' or [po_t02_vis] = '0' or [po_t02_vis] = '3',,,,,,
po_miss_domain_reference,project_review,Missing Research Domains,descriptive,"<div style=""font-weight:400;""><strong>Labour Market &amp; Employment</strong> — Work, employment, earnings, job quality, workforce dynamics, skills demand or labour-market transitions; not employment or earnings used only to measure the consequences of education, health or another substantive exposure unless labour-market outcomes are themselves a central focus.<br><strong>Education &amp; Skills</strong> — Educational participation, attainment, qualifications, admissions, skills acquisition, training, apprenticeships or educational progression, including where later employment or earnings outcomes are used to study the effects of education or training; not education level used only as a subgroup, covariate or worker characteristic.<br><strong>Health &amp; Social Care</strong> — Health, illness, mental health, wellbeing, clinical outcomes, healthcare access or use, mortality as a health outcome, and social care; not mortality studied only as a demographic or population outcome.<br><strong>Crime &amp; Justice</strong> — Offending, victimisation, public safety, policing, courts, sentencing, prisons, probation, family justice, civil justice or justice-system outcomes; not general harm, risk, vulnerability or public-service use without crime, legal proceedings or justice-system involvement.<br><strong>Business &amp; Productivity</strong> — Firms, business behaviour, innovation, productivity, entrepreneurship, trade, investment or firm performance; not firm-level data used only as a setting or source for another substantive question.<br><strong>Poverty, Wealth &amp; Living Standards</strong> — Household income and resources, poverty, wealth, savings, debt, benefits, food insecurity, cost of living or material deprivation; not pay gaps, employment, deprivation indices, area-level disadvantage or demographic inequality unless household resources or living standards are central.<br><strong>Housing &amp; Planning</strong> — Housing, homelessness, tenure, housing markets, residential conditions or mobility, neighbourhood change and planning; domestic energy or environmental exposure belongs here only where a housing, dwelling or residential mechanism is central, not merely because home, place or geography is mentioned.<br><strong>Migration &amp; Demographics</strong> — Population structure or change, migration, fertility, ageing or mortality as a demographic outcome; not every study that includes demographic characteristics or subgroup comparisons.<br><strong>Environment &amp; Agriculture</strong> — The natural environment, climate, energy, agriculture, land use, pollution, decarbonisation or environmental impacts; not “environment” used only to mean a social, economic, family or institutional context.<br><strong>Public Finance &amp; Taxation</strong> — Taxation, tax compliance, tax credits, business rates, public revenue or expenditure, fiscal transfers, tax reliefs or fiscal policy; not private income, debt, wealth, investment or household finances without a public-finance mechanism.<br><strong>Data Infrastructure &amp; Methodology</strong> — Research primarily about data, linkage, measurement, classifications, methods or statistical infrastructure; not merely a substantive project that uses linked data or advanced methods.</div>",,,,,,,,,,,,,
po_miss_domain_reminder,project_review,,descriptive,"<div style=""font-weight:400;"">Select a missing Research Domain only if it represents <strong>a substantive subject of the project</strong>, not merely a dataset, variable, population characteristic or contextual factor used in the research.</div>",,,,,,,,,,,,,
po_miss_domains,project_review,,checkbox,Select any Research Domains that apply to the project but were not proposed above.,"1, Labour Market & Employment | 2, Education & Skills | 3, Health & Social Care | 4, Crime & Justice | 5, Business & Productivity | 6, Poverty, Wealth & Living Standards | 7, Housing & Planning | 8, Migration & Demographics | 9, Environment & Agriculture | 10, Public Finance & Taxation | 11, Data Infrastructure & Methodology",,,,,,,,,,,,
po_miss_domain_basis,project_review,,notes,Please briefly explain why the selected Research Domain label or labels should be included.,,,,,,,[po_miss_domains(1)] = '1' or [po_miss_domains(2)] = '1' or [po_miss_domains(3)] = '1' or [po_miss_domains(4)] = '1' or [po_miss_domains(5)] = '1' or [po_miss_domains(6)] = '1' or [po_miss_domains(7)] = '1' or [po_miss_domains(8)] = '1' or [po_miss_domains(9)] = '1' or [po_miss_domains(10)] = '1' or [po_miss_domains(11)] = '1',,,,,,
po_miss_purpose_reference,project_review,Missing Analytical Purposes,descriptive,"<div style=""font-weight:400;""><strong>Descriptive Monitoring</strong> — Measuring and describing levels, distributions, patterns or trends across places, populations or time, without primarily testing an exposure–outcome relationship.<br><strong>Outcome Tracking</strong> — Linking a naturally occurring exposure, condition or event to a later outcome, where the exposure is not a deliberate policy or programme.<br><strong>Life-Course / Trajectory Analysis</strong> — Following people, households, firms or cases over time to understand trajectories, transitions or cumulative outcomes.<br><strong>Service Interaction / Systems Analysis</strong> — How people, cases or organisations access, use, move through or are processed by public services.<br><strong>Policy Evaluation / Impact Analysis</strong> — Assessing the implementation, effects or consequences of a specific named policy, programme, regulation or intervention.<br><strong>Risk Prediction / Early Identification</strong> — Predicting risk or identifying at-risk people, groups or places for screening or early targeting.<br><strong>Methodological / Infrastructure Research</strong> — Developing, testing, validating or improving research methods, measures, linkage approaches, infrastructure or data assets.</div>",,,,,,,,,,,,,
po_miss_purpose_guidance,project_review,,descriptive,"<div style=""font-weight:400;"">The framework assigns a maximum of two Analytical Purposes to each project. Select only the most important missing purpose or purposes, taking account of any proposed purposes that you judged to fit. The resulting classification should contain no more than two purposes in total.</div>",,,,,,,,,,,,,
po_miss_purpose_reminder,project_review,,descriptive,"<div style=""font-weight:400;"">Select a missing Analytical Purpose only if it represents <strong>a substantive analytical aim of the project</strong>, not merely a method, analytical step or secondary feature of the work.</div>",,,,,,,,,,,,,
po_miss_purposes,project_review,,checkbox,Select up to two Analytical Purposes that apply to the project but were not proposed above.,"1, Descriptive Monitoring | 2, Outcome Tracking | 3, Life-Course / Trajectory Analysis | 4, Service Interaction / Systems Analysis | 5, Policy Evaluation / Impact Analysis | 6, Risk Prediction / Early Identification | 7, Methodological / Infrastructure Research",,,,,,,,,,,,@MAXCHECKED=2
po_miss_purpose_basis,project_review,,notes,Please briefly explain why the selected Analytical Purpose label or labels should be included.,,,,,,,[po_miss_purposes(1)] = '1' or [po_miss_purposes(2)] = '1' or [po_miss_purposes(3)] = '1' or [po_miss_purposes(4)] = '1' or [po_miss_purposes(5)] = '1' or [po_miss_purposes(6)] = '1' or [po_miss_purposes(7)] = '1',,,,,,
po_miss_tag_reference,project_review,Missing cross-cutting tags,descriptive,"<div style=""font-weight:400;""><strong>Demographic disparities / equity tag</strong> — Comparisons across demographic or equality-relevant groups are central; socioeconomic inequality alone or routine subgroup breakdowns do not qualify.<br><strong>COVID-19 &amp; Pandemic</strong> — COVID-19 or pandemic conditions are a central research focus or lens, not merely the period covered by the data.</div>",,,,,,,,,,,,,
po_miss_tags,project_review,,checkbox,Select any cross-cutting tags that should have been assigned or applied differently.,"1, Demographic disparities / equity tag | 2, COVID-19 & Pandemic",,,,,,,,,,,,
po_miss_tag_basis,project_review,,notes,Please briefly explain why the selected tag or tags should have been assigned or applied differently.,,,,,,,[po_miss_tags(1)] = '1' or [po_miss_tags(2)] = '1',,,,,,
po_sufficiency,project_review,Overall assessment,radio,"Overall, does the public register entry provide enough information for someone external to classify the project correctly?","1, Sufficient | 2, Partial | 3, Insufficient",,,,,,,y,,,,,
po_suff_explain,project_review,,notes,What important information is missing or unclear in the public register entry?,,,,,,,[po_sufficiency] = '2' or [po_sufficiency] = '3',,,,,,
po_taxonomy_fit,project_review,,radio,"Thinking about the actual project, how well do the available classification categories cover it?","1, Fit | 2, Partial Fit | 3, No Fit",,,,,,,y,,,,,
po_tax_issue,project_review,,checkbox,What type of taxonomy problem applies?,"1, Missing or inadequately represented category | 2, Ambiguous or overlapping category boundaries | 5, Other taxonomy problem","This question concerns the available classification framework itself. If an existing category fits but was omitted from the proposed classification, report it in the missing-classification section instead.",,,,,[po_taxonomy_fit] = '2' or [po_taxonomy_fit] = '3',y,,,,,
po_tax_explain,project_review,,notes,"Optional: Please briefly explain the taxonomy-fit problem. If you selected 'Other taxonomy problem', describe it here.",,,,,,,[po_taxonomy_fit] = '2' or [po_taxonomy_fit] = '3',,,,,,
po_nonpublic,project_review,,radio,Did any of your answers rely on relevant project knowledge that is not visible in the public register entry?,"0, No | 1, Yes | 2, Unsure",,,,,,,y,,,,,
po_nonpublic_note,project_review,,notes,Please briefly describe the type of additional context that informed your answer.,,,,,,,[po_nonpublic] = '1' or [po_nonpublic] = '2',,,,,,
po_other_comment,project_review,Final comments,notes,"Do you have any other comments about the proposed classifications, the public register entry, or the taxonomy?",,,,,,,,,,,,,
po_final_warning,project_review,,descriptive,"<strong>Important</strong><br><div style=""font-weight:400;"">Comments may be quoted in published outputs, so please avoid including restricted or personally identifying detail in anything you would not want reproduced.<br><br>You may request withdrawal of this submitted review before the deadline stated in the Participant Information Sheet by contacting the study team and quoting the Review reference shown above.</div>",,,,,,,,,,,,,
